architecture,scenario,resource,capacity,mean_calls,mean_utilization,maximum_utilization,mean_wait_ms,maximum_wait_ms,saturation_rate,mean_calls_delayed_beyond_horizon
capacity_matched,research_donation,audit,3,157.63333333333333,2.2837159508450212e-05,2.8219446622077875e-05,0.0,0.0,0.0,0.0
capacity_matched,research_donation,compliance,2,77.7,4.2461407346477796e-05,5.2879588015371434e-05,0.0,0.0,0.0,0.0
capacity_matched,research_donation,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,research_donation,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,research_donation,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,research_donation,policy,3,157.63333333333333,9.561571587343746e-05,0.00010927628123625374,0.0,0.0,0.0,0.0
capacity_matched,research_donation,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,research_donation,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,research_donation,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,research_donation,trust,2,162.56666666666666,0.08595042627202751,0.10532637612390455,14.385370285905799,3560.706979650604,0.0,0.0
capacity_matched,research_donation,verifier,3,325.1333333333333,0.0008874510186277792,0.001061733401112957,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,anonymizer,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,audit,3,193.06666666666666,2.76198957905804e-05,3.447925438997641e-05,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,compliance,2,96.9,5.3086565607962294e-05,6.503357554351802e-05,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,connector,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,fhir,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,orchestrator,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,policy,3,193.06666666666666,0.00011696390735037845,0.0001449413474133875,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,queue,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,session,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched,trust_failure,status,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
